Run started: 2026-03-01T21:49:24
Total params: 4,165,985 (15.89 MB)
Trainable params: 4,165,985 (15.89 MB)
Non-trainable params: 0 (0.00 B)
--------------------------------------------------------------------------------
Training setup | epochs=15 | optimizer=AdamW(lr=3e-4, weight_decay=1e-5)
step=66400 train_batch_loss=0.3821
step=66500 train_batch_loss=0.3294
step=66600 train_batch_loss=0.3572
step=66700 train_batch_loss=0.1865
step=66800 train_batch_loss=0.2295
step=66900 train_batch_loss=0.2397
step=67000 train_batch_loss=0.1757
step=67100 train_batch_loss=0.2497
step=67200 train_batch_loss=0.3887
step=67300 train_batch_loss=0.2212
step=67400 train_batch_loss=0.3596
step=67500 train_batch_loss=0.2653
step=67600 train_batch_loss=0.2199
step=67700 train_batch_loss=0.2977
step=67800 train_batch_loss=0.1943
step=67900 train_batch_loss=0.1272
step=68000 train_batch_loss=0.1802
step=68100 train_batch_loss=0.1466
step=68200 train_batch_loss=0.1912
step=68300 train_batch_loss=0.2750
step=68400 train_batch_loss=0.0960
step=68500 train_batch_loss=0.1863
step=68600 train_batch_loss=0.2232
step=68700 train_batch_loss=0.2074
step=68800 train_batch_loss=0.1336
step=68900 train_batch_loss=0.2289
step=69000 train_batch_loss=0.2962
step=69100 train_batch_loss=0.2124
step=69200 train_batch_loss=0.3705
step=69300 train_batch_loss=0.1214
step=69400 train_batch_loss=0.1766
step=69500 train_batch_loss=0.4136
step=69600 train_batch_loss=0.1653
step=69700 train_batch_loss=0.1420
step=69800 train_batch_loss=0.3770
step=69900 train_batch_loss=0.2088
step=70000 train_batch_loss=0.1798
step=70100 train_batch_loss=0.3120
step=70200 train_batch_loss=0.1251
step=70300 train_batch_loss=0.1425
step=70400 train_batch_loss=0.1216
step=70500 train_batch_loss=0.0939
step=70600 train_batch_loss=0.1153
step=70700 train_batch_loss=0.0923
step=70800 train_batch_loss=0.2047
step=70900 train_batch_loss=0.2880
step=71000 train_batch_loss=0.2646
step=71100 train_batch_loss=0.4358
step=71200 train_batch_loss=0.2664
step=71300 train_batch_loss=0.2892
step=71400 train_batch_loss=0.1882
step=71500 train_batch_loss=0.2052
step=71600 train_batch_loss=0.2195
step=71700 train_batch_loss=0.0954
step=71800 train_batch_loss=0.1587
step=71900 train_batch_loss=0.0696
step=72000 train_batch_loss=0.2705
step=72100 train_batch_loss=0.2482
step=72200 train_batch_loss=0.2429
step=72300 train_batch_loss=0.2427
step=72400 train_batch_loss=0.1836
step=72500 train_batch_loss=0.1036
step=72600 train_batch_loss=0.2552
step=72700 train_batch_loss=0.2554
step=72800 train_batch_loss=0.1424
step=72900 train_batch_loss=0.2075
step=73000 train_batch_loss=0.2394
step=73100 train_batch_loss=0.1970
step=73200 train_batch_loss=0.2569
